region;tik;uik;uik_url;uik_address;uik_voteroom_address;uik_geocoding_address;geocoding_kind;geocoding_precision;lat;lon;voters_include;weight;population
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №940;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185590;"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.62, МБОУДО ""ДЮСШ"" ""Шахматный клуб ""БЕЛАЯ ЛАДЬЯ"", большой шахматный зал, 1 этаж";"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.62, МБОУДО ""ДЮСШ"" ""Шахматный клуб ""БЕЛАЯ ЛАДЬЯ"", большой шахматный зал, 1 этаж";Россия, Ленинградская область, Сосновый Бор, проспект Героев, 62;house;exact;59.90995;29.090144;2257.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №941;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185592;"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.63А, СМБУК ""Центр развития личности ""Гармония"", танцевальный зал";"188540, Ленинградская область, г. Сосновый Бор, проспект Героев, д.63А, СМБУК ""Центр развития личности ""Гармония"", танцевальный зал";;;not found;;;2229.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №942;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185594;"188540, Ленинградская область, г. Сосновый Бор, ул.Красных Фортов, д.43, МБОУДО ""Центр развития творчества"", актовый зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Красных Фортов, д.43, МБОУДО ""Центр развития творчества"", актовый зал";Россия, Ленинградская область, Сосновый Бор, улица Красных Фортов, 43;house;exact;59.912358999999995;29.081484000000003;2445.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №943;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185596;"188540, Ленинградская область, г. Сосновый Бор, ул.Молодежная, д.31, МБОУ ""СОШ №6"", холл 1 этажа";"188540, Ленинградская область, г. Сосновый Бор, ул.Молодежная, д.31, МБОУ ""СОШ №6"", холл 1 этажа";Россия, Ленинградская область, Сосновый Бор, Молодёжная улица, 6;house;exact;59.91066800000001;29.095381;2296.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №944;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185598;"188540, Ленинградская область, г. Сосновый Бор, ул.Молодежная, д.32, МБОУ ""СОШ № 7"", столовая";"188540, Ленинградская область, г. Сосновый Бор, ул.Молодежная, д.32, МБОУ ""СОШ № 7"", столовая";Россия, Ленинградская область, Сосновый Бор, Молодёжная улица, 7;house;exact;59.90819499999999;29.094922999999998;2306.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №945;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185600;"188540, Ленинградская область, г. Сосновый Бор, ул.Молодежная, д.32, МБОУ ""СОШ №7"", рекреация , 2 блок, 1 этаж, начальная школа";"188540, Ленинградская область, г. Сосновый Бор, ул.Молодежная, д.32, МБОУ ""СОШ №7"", рекреация , 2 блок, 1 этаж, начальная школа";Россия, Ленинградская область, Сосновый Бор, Молодёжная улица, 32;house;exact;59.91563000000001;29.087961;2685.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №946;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185602;"188540, Ленинградская область, г. Сосновый Бор, ул.Ленинградская, д.64, МБОУ ""Лицей №8"", рекреация, каб. №№ 101-104";"188540, Ленинградская область, г. Сосновый Бор, ул.Ленинградская, д.64, МБОУ ""Лицей №8"", рекреация, каб. №№ 101-104";Россия, Ленинградская область, Сосновый Бор, Ленинградская улица, 8;house;exact;59.888401;29.084736;2377.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №947;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185604;"188540, Ленинградская область, г. Сосновый Бор, ул.Ленинградская, д.64, МАОУДО ""Центр информационных технологий"", большой зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Ленинградская, д.64, МАОУДО ""Центр информационных технологий"", большой зал";Россия, Ленинградская область, Сосновый Бор, Ленинградская улица, 64;house;exact;59.900420999999994;29.076642;2594.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №948;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185606;"188540, Ленинградская область, г. Сосновый Бор, ул.Ленинградская, д.64, МБОУ ""Лицей №8"", спорт.зал";"188540, Ленинградская область, г. Сосновый Бор, ул.Ленинградская, д.64, МБОУ ""Лицей №8"", спорт.зал";Россия, Ленинградская область, Сосновый Бор, Ленинградская улица, 8;house;exact;59.888401;29.084736;2684.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №949;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185608;"188540, Ленинградская область, г. Сосновый Бор, Липовский проезд, д.13, МБОУ ""СОШ №9 имени В.И.Некрасова"", рекреация";"188540, Ленинградская область, г. Сосновый Бор, Липовский проезд, д.13, МБОУ ""СОШ №9 имени В.И.Некрасова"", рекреация";Россия, Ленинградская область, Сосновый Бор, Липовский проезд, 9Б;house;number;59.906224;29.071440999999997;2509.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №950;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185610;"188540, Ленинградская область, г. Сосновый Бор, Липовский проезд, д.13, МБОУ ""СОШ №9 имени В.И.Некрасова"", спорт.зал";"188540, Ленинградская область, г. Сосновый Бор, Липовский проезд, д.13, МБОУ ""СОШ №9 имени В.И.Некрасова"", спорт.зал";Россия, Ленинградская область, Сосновый Бор, Липовский проезд, 9Б;house;number;59.906224;29.071440999999997;1954.0;;
Ленинградская область;ТИК Сосновоборского городского округа;Участковая избирательная комиссия №951;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474019185612;"188540, Ленинградская область, г. Сосновый Бор, Липовский проезд, д.13, МБОУ ""СОШ №9 имени В.И.Некрасова"", столовая";"188540, Ленинградская область, г. Сосновый Бор, Липовский проезд, д.13, МБОУ ""СОШ №9 имени В.И.Некрасова"", столовая";Россия, Ленинградская область, Сосновый Бор, Липовский проезд, 9Б;house;number;59.906224;29.071440999999997;1339.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №1;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211449;187650, Ленинградская область, г.Бокситогорск, ул.Социалистическая, д.9, здание администрации;187650, Ленинградская область, г.Бокситогорск, ул.Павлова, д.20, здание школы №2;Россия, Ленинградская область, Бокситогорск, улица Павлова, 20;house;exact;59.477251;33.855751;2778.0;0.20819905568462865;3181.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №2;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211450;187650, Ленинградская область, г.Бокситогорск, ул.Социалистическая, д.9, здание администрации;187650, Ленинградская область, г.Бокситогорск, ул.Социалистическая, д.28А, здание школы №3;Россия, Ленинградская область, Бокситогорск, Социалистическая улица, 28А;house;exact;59.472122999999996;33.853227000000004;2589.0;0.19403432511429214;2964.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №4;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211452;187650, Ленинградская область, г.Бокситогорск, ул.Социалистическая, д.9, здание администрации;187650, Ленинградская область, г.Бокситогорск, ул.Комсомольская, д.5А, здание культурно-досугового центра;Россия, Ленинградская область, Бокситогорск, Комсомольская улица, 5А;house;exact;59.473608;33.848655;2530.0;0.18961253091508656;2897.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №5;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211453;187650, Ленинградская область, г.Бокситогорск, ул.Социалистическая, д.9, здание администрации;187650, Ленинградская область, г.Бокситогорск, ул.Школьная, д.13, здание школы №1;Россия, Ленинградская область, Бокситогорск, Школьная улица, 13;house;exact;59.474056000000004;33.843030999999996;2651.0;0.19868095630667765;3035.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №6;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211454;187650, Ленинградская область, г.Бокситогорск, ул.Социалистическая, д.9, здание администрации;187650, Ленинградская область, г.Бокситогорск, ул.Вишнякова, д.22, здание института;Россия, Ленинградская область, Бокситогорск, улица Вишнякова, 22;house;exact;59.475898;33.847388;2795.0;0.209473131979315;3200.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №8;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211473;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Советская, д.24, здание центра дополнительного образования;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, Советская улица, 24;house;exact;59.51645500000001;34.167188;1949.0;0.1194020706977884;2386.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №9;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211474;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Школьная, д.38, здание колледжа;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, Школьная улица, 38;house;exact;59.513442000000005;34.170054;2001.0;0.12258775960301416;2449.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №10;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211475;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Школьная, д.40, здание школы №4;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, Школьная улица, 40;house;exact;59.512643000000004;34.171824;1987.0;0.12173007412853029;2432.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №11;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211476;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, 5-й мкр., д.5, здание школы №3;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, 5-й микрорайон, 5;house;exact;59.509218999999995;34.181876;2065.0;0.12650860748636894;2528.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №12;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211477;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Советская, д.21, здание хозяйственно-эксплуатационной службы;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, Советская улица, 21;house;exact;59.514359999999996;34.175992;1793.0;0.10984500398211113;2195.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №13;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211478;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, пл.Комсомола, д.1, здание Дворца Культуры;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, площадь Комсомола, 1;house;exact;59.511511;34.177833;2370.0;0.14519389818048153;2901.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №14;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211479;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Металлургов, д.13, здание библиотеки;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, улица Металлургов, 13;house;exact;59.511633999999994;34.192638;2111.0;0.12932671690253017;2584.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №15;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211480;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Речная, д.4, здание администрации;187600, Ленинградская область, Бокситогорский район, г.Пикалево, ул.Горняков, д.21, здание спортивно-оздоровительного комплекса;Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, улица Горняков, 21;house;exact;59.51051999999999;34.199626;2047.0;0.1254058690191754;2506.0
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №16;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211481;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Комсомольская, д.9, здание администрации;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Комсомольская, д.12, здание культурно-досугового центра;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, городской посёлок Ефимовский, Комсомольская улица, 12;house;exact;59.498149;34.670389;1081.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №17;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211482;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Комсомольская, д.9, здание администрации;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Комсомольская, д.12, здание культурно-досугового центра;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, городской посёлок Ефимовский, Комсомольская улица, 12;house;exact;59.498149;34.670389;687.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №18;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211483;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Комсомольская, д.9, здание администрации;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Сенная, д.15, здание школы-интерната;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, городской посёлок Ефимовский, Сенная улица, 15;house;exact;59.498034999999994;34.661916999999995;1045.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №19;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211484;187620, Ленинградская область, Бокситогорский район, г.п.Ефимовский, ул.Комсомольская, д.9, здание администрации;187633, Ленинградская область, Бокситогорский район, с.Сомино, ул.Ярославская, д.55, здание дома культуры;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, село Сомино, Ярославская улица, 55;house;exact;59.343364;34.8703;309.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №20;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211485;187683, Ленинградская область, Бокситогорский район, д.Радогощь, д.9, здание администрации;187683, Ленинградская область, Бокситогорский район, д.Радогощь, д.100, здание дома культуры;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, деревня Радогощь, 100;house;exact;59.782665;34.864765999999996;334.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №21;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211486;187637, Ленинградская область, Бокситогорский район, д.Климово, д.38, здание администрации;187637, Ленинградская область, Бокситогорский район, д.Климово, д.34, здание школы-интерната;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, деревня Климово;locality;other;59.195265;34.68875;563.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №22;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211487;187637, Ленинградская область, Бокситогорский район, д.Климово, д.38, здание администрации;187605, Ленинградская область, Бокситогорский район, д.Журавлево, д.38, здание дома культуры;Россия, Ленинградская область, Бокситогорский район, Ефимовское городское поселение, деревня Журавлёво;locality;other;59.35052099999999;34.723551;198.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №23;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211488;187643, Ленинградская область, Бокситогорский район, д.Бор, д.44, здание администрации;187650, Ленинградская область, Бокситогорский район, п.Сельхозтехника, д.3, кв.15, помещение библиотеки;Россия, Ленинградская область, Бокситогорский район, Борское сельское поселение, посёлок Сельхозтехника, 3;house;exact;59.485061;33.808840999999994;431.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №24;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211489;187643, Ленинградская область, Бокситогорский район, д.Бор, д.44, здание администрации;187643, Ленинградская область, Бокситогорский район, д.Бор, д.38, здание культурного центра;Россия, Ленинградская область, Бокситогорский район, деревня Бор, 38;house;exact;59.47369499999999;33.79587;618.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №25;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211490;187643, Ленинградская область, Бокситогорский район, д.Бор, д.44, здание администрации;187646, Ленинградская область, Бокситогорский район, д.Мозолево-1, д.22, здание дома культуры;Россия, Ленинградская область, Бокситогорский район, Борское сельское поселение, деревня Мозолёво-1;locality;other;59.31746999999999;33.847091999999996;632.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №26;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211491;187613, Ленинградская область, Бокситогорский район, д.Большой Двор, д.30, здание администрации;187642, Ленинградская область, Бокситогорский район, д.Дыми, д.4, кв.1, муниципальный фонд;Россия, Ленинградская область, Бокситогорский район, Большедворское сельское поселение, деревня Дыми, 4;house;exact;59.570876;33.776421;289.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №27;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211492;187613, Ленинградская область, Бокситогорский район, д.Большой Двор, д.30, здание администрации;187613, Ленинградская область, Бокситогорский район, д.Большой Двор, д.21, здание культурного центра;Россия, Ленинградская область, Бокситогорский район, Большедворское сельское поселение, деревня Большой Двор, 19;house;near;59.612889;33.889214;923.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №28;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211493;"187660, Ленинградская область, Бокситогорский район, п.Заборье, ул.Годовикова, д.39, здание ООО ""РЖД""";"187660, Ленинградская область, Бокситогорский район, п.Заборье, ул.Годовикова, д.39, здание ООО ""РЖД""";Россия, Ленинградская область, Бокситогорский район, Лидское сельское поселение, посёлок Заборье, улица Годовикова;street;street;59.511187;35.239247;571.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №29;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211494;187660, Ленинградская область, Бокситогорский район, п.Заборье, ул.Киевская, д.2А, здание лесничества;187660, Ленинградская область, Бокситогорский район, п.Заборье, ул.Киевская, д.2А, здание лесничества;Россия, Ленинградская область, Бокситогорский район, Лидское сельское поселение, посёлок Заборье, Киевская улица;street;street;59.515451;35.215289;353.0;;
Ленинградская область;ТИК Бокситогорского муниципального района;Участковая избирательная комиссия №30;http://www.leningrad-reg.vybory.izbirkom.ru/region/leningrad-reg/?action=ik&vrn=4474001211495;187640, Ленинградская область, Бокситогорский район, п.Подборовье, ул.Советская, д.1, здание администрации;187640, Ленинградская область, Бокситогорский район, п.Подборовье, ул.Советская, д.1, здание администрации;Россия, Ленинградская область, Бокситогорский район, Лидское сельское поселение, посёлок Подборовье, Советская улица, 1;house;exact;59.493262;35.042237;929.0;;
